feature,missing_count,missing_pct,mean_all,std_all,mean_Pre-2020,std_Pre-2020,mean_Post-Pandemic (2021-06+),std_Post-Pandemic (2021-06+)
consumer_sentiment,0,0.0,81.57341772151901,14.115154156208364,85.78208333333332,12.257340548226692,64.39152542372881,8.276957798103352
fed_funds,0,0.0,2.0284493670886077,2.0271579449900066,1.7841666666666665,1.9171405150725844,3.5238983050847454,1.9217215853366485
high_inflation,0,0.0,0.3227848101265823,0.4682827438092158,0.2375,0.4264404582531381,0.7288135593220338,0.4483882428930302
hy_oas,0,0.0,5.332406859299815,2.5963214195124964,5.787971115528995,2.761390256670073,3.591476507893973,0.7076772230587237
post_regime,0,0.0,0.18670886075949367,0.3902956844727637,0.0,0.0,1.0,0.0
tight_labor,0,0.0,0.3670886075949367,0.48277544656528365,0.25,0.43391764060527876,0.8983050847457628,0.30484112618719755
unemployment_rate,0,0.0,5.62373417721519,1.9359522439922647,5.88125,1.8095118565502177,4.030508474576272,0.4731604077674583
unemployment_rate_x_high_inflation,0,0.0,1.643987341772152,2.505104994757684,1.3720833333333333,2.5791268334752404,3.022033898305085,1.7594148514550931
consumer_sentiment_chg_1,1,0.32,-0.1746031746031746,4.290382083781193,-0.05313807531380754,4.069261256042764,-0.4389830508474576,4.417637726875607
fed_funds_chg_1,1,0.32,-0.005746031746031746,0.18164937600846998,-0.016317991631799162,0.16569385347170382,0.060677966101694916,0.20038638888648183
hy_oas_chg_1,1,0.32,-0.005451247165532878,0.6987104833776279,-0.004445108587367996,0.735265899927477,-0.004519774011299434,0.3080046443076072
unemployment_rate_chg_1,1,0.32,0.0009523809523809547,0.641479466053682,-0.0016736401673640182,0.15982304479260034,-0.025423728813559306,0.15491178840183933
unemployment_rate_lag_1,1,0.32,5.627936507936509,1.9375884271829689,5.890794979079498,1.8072446981430823,4.0559322033898315,0.5253147452064032
unemployment_rate_std_3,2,0.63,0.16772069480000126,0.49975640707434127,0.1084775659680164,0.08375915697952219,0.10352929120125405,0.08279799534677368
